Date,Alchohol_Sales
01-01-1992,3459
01-02-1992,3458
01-03-1992,4002
01-04-1992,4564
01-05-1992,4221
01-06-1992,4529
01-07-1992,4466
01-08-1992,4137
01-09-1992,4126
01-10-1992,4259
01-11-1992,4240
01-12-1992,4936
01-01-1993,3031
01-02-1993,3261
01-03-1993,4160
01-04-1993,4377
01-05-1993,4307
01-06-1993,4696
01-07-1993,4458
01-08-1993,4457
01-09-1993,4364
01-10-1993,4236
01-11-1993,4500
01-12-1993,4974
01-01-1994,3075
01-02-1994,3377
01-03-1994,4443
01-04-1994,4261
01-05-1994,4460
01-06-1994,4985
01-07-1994,4324
01-08-1994,4719
01-09-1994,4374
01-10-1994,4248
01-11-1994,4784
01-12-1994,4971
01-01-1995,3370
01-02-1995,3484
01-03-1995,4269
01-04-1995,3994
01-05-1995,4715
01-06-1995,4974
01-07-1995,4223
01-08-1995,5000
01-09-1995,4235
01-10-1995,4554
01-11-1995,4851
01-12-1995,4826
01-01-1996,3699
01-02-1996,3983
01-03-1996,4262
01-04-1996,4619
01-05-1996,5219
01-06-1996,4836
01-07-1996,4941
01-08-1996,5062
01-09-1996,4365
01-10-1996,5012
01-11-1996,4850
01-12-1996,5097
01-01-1997,3758
01-02-1997,3825
01-03-1997,4454
01-04-1997,4635
01-05-1997,5210
01-06-1997,5057
01-07-1997,5231
01-08-1997,5034
01-09-1997,4970
01-10-1997,5342
01-11-1997,4831
01-12-1997,5965
01-01-1998,3796
01-02-1998,4019
01-03-1998,4898
01-04-1998,5090
01-05-1998,5237
01-06-1998,5447
01-07-1998,5435
01-08-1998,5107
01-09-1998,5515
01-10-1998,5583
01-11-1998,5346
01-12-1998,6286
01-01-1999,4032
01-02-1999,4435
01-03-1999,5479
01-04-1999,5483
01-05-1999,5587
01-06-1999,6176
01-07-1999,5621
01-08-1999,5889
01-09-1999,5828
01-10-1999,5849
01-11-1999,6180
01-12-1999,6771
01-01-2000,4243
01-02-2000,4952
01-03-2000,6008
01-04-2000,5353
01-05-2000,6435
01-06-2000,6673
01-07-2000,5636
01-08-2000,6630
01-09-2000,5887
01-10-2000,6322
01-11-2000,6520
01-12-2000,6678
01-01-2001,5082
01-02-2001,5216
01-03-2001,5893
01-04-2001,5894
01-05-2001,6799
01-06-2001,6667
01-07-2001,6374
01-08-2001,6840
01-09-2001,5575
01-10-2001,6545
01-11-2001,6789
01-12-2001,7180
01-01-2002,5117
01-02-2002,5442
01-03-2002,6337
01-04-2002,6525
01-05-2002,7216
01-06-2002,6761
01-07-2002,6958
01-08-2002,7070
01-09-2002,6148
01-10-2002,6924
01-11-2002,6716
01-12-2002,7975
01-01-2003,5326
01-02-2003,5609
01-03-2003,6414
01-04-2003,6741
01-05-2003,7144
01-06-2003,7133
01-07-2003,7568
01-08-2003,7266
01-09-2003,6634
01-10-2003,7626
01-11-2003,6843
01-12-2003,8540
01-01-2004,5629
01-02-2004,5898
01-03-2004,7045
01-04-2004,7094
01-05-2004,7333
01-06-2004,7918
01-07-2004,7289
01-08-2004,7396
01-09-2004,7259
01-10-2004,7268
01-11-2004,7731
01-12-2004,9058
01-01-2005,5557
01-02-2005,6237
01-03-2005,7723
01-04-2005,7262
01-05-2005,8241
01-06-2005,8757
01-07-2005,7352
01-08-2005,8496
01-09-2005,7741
01-10-2005,7710
01-11-2005,8247
01-12-2005,8902
01-01-2006,6066
01-02-2006,6590
01-03-2006,7923
01-04-2006,7335
01-05-2006,8843
01-06-2006,9327
01-07-2006,7792
01-08-2006,9156
01-09-2006,8037
01-10-2006,8640
01-11-2006,9128
01-12-2006,9545
01-01-2007,6627
01-02-2007,6743
01-03-2007,8195
01-04-2007,7828
01-05-2007,9570
01-06-2007,9484
01-07-2007,8608
01-08-2007,9543
01-09-2007,8123
01-10-2007,9649
01-11-2007,9390
01-12-2007,10065
01-01-2008,7093
01-02-2008,7483
01-03-2008,8365
01-04-2008,8895
01-05-2008,9794
01-06-2008,9977
01-07-2008,9553
01-08-2008,9375
01-09-2008,9225
01-10-2008,9948
01-11-2008,8758
01-12-2008,10839
01-01-2009,7266
01-02-2009,7578
01-03-2009,8688
01-04-2009,9162
01-05-2009,9369
01-06-2009,10167
01-07-2009,9507
01-08-2009,8923
01-09-2009,9272
01-10-2009,9075
01-11-2009,8949
01-12-2009,10843
01-01-2010,6558
01-02-2010,7481
01-03-2010,9475
01-04-2010,9424
01-05-2010,9351
01-06-2010,10552
01-07-2010,9077
01-08-2010,9273
01-09-2010,9420
01-10-2010,9413
01-11-2010,9866
01-12-2010,11455
01-01-2011,6901
01-02-2011,8014
01-03-2011,9832
01-04-2011,9281
01-05-2011,9967
01-06-2011,11344
01-07-2011,9106
01-08-2011,10469
01-09-2011,10085
01-10-2011,9612
01-11-2011,10328
01-12-2011,11483
01-01-2012,7486
01-02-2012,8641
01-03-2012,9709
01-04-2012,9423
01-05-2012,11342
01-06-2012,11274
01-07-2012,9845
01-08-2012,11163
01-09-2012,9532
01-10-2012,10754
01-11-2012,10953
01-12-2012,11922
01-01-2013,8395
01-02-2013,8888
01-03-2013,10110
01-04-2013,10493
01-05-2013,12218
01-06-2013,11385
01-07-2013,11186
01-08-2013,11462
01-09-2013,10494
01-10-2013,11540
01-11-2013,11138
01-12-2013,12709
01-01-2014,8557
01-02-2014,9059
01-03-2014,10055
01-04-2014,10977
01-05-2014,11792
01-06-2014,11904
01-07-2014,10965
01-08-2014,10981
01-09-2014,10828
01-10-2014,11817
01-11-2014,10470
01-12-2014,13310
01-01-2015,8400
01-02-2015,9062
01-03-2015,10722
01-04-2015,11107
01-05-2015,11508
01-06-2015,12904
01-07-2015,11869
01-08-2015,11224
01-09-2015,12022
01-10-2015,11983
01-11-2015,11506
01-12-2015,14183
01-01-2016,8648
01-02-2016,10321
01-03-2016,12107
01-04-2016,11420
01-05-2016,12238
01-06-2016,13681
01-07-2016,10950
01-08-2016,12700
01-09-2016,12272
01-10-2016,11905
01-11-2016,13016
01-12-2016,14421
01-01-2017,9043
01-02-2017,10452
01-03-2017,12481
01-04-2017,11491
01-05-2017,13545
01-06-2017,14730
01-07-2017,11416
01-08-2017,13402
01-09-2017,11907
01-10-2017,12711
01-11-2017,13261
01-12-2017,14265
01-01-2018,9564
01-02-2018,10415
01-03-2018,12683
01-04-2018,11919
01-05-2018,14138
01-06-2018,14583
01-07-2018,12640
01-08-2018,14257
01-09-2018,12396
01-10-2018,13914
01-11-2018,14174
01-12-2018,15504
01-01-2019,10718
